,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,Contract,TotalCharges,Churn
0,Female,0,Yes,No,1,No,No phone service,Month-to-month,29.85,No
1,Male,0,No,No,34,Yes,No,One year,1889.5,No
2,Male,0,No,No,2,Yes,No,Month-to-month,108.15,Yes
3,Male,0,No,No,45,No,No phone service,One year,1840.75,No
4,Female,0,No,No,2,Yes,No,Month-to-month,151.65,Yes
5,Female,0,No,No,8,Yes,Yes,Month-to-month,820.5,Yes
6,Male,0,No,Yes,22,Yes,Yes,Month-to-month,1949.4,No
7,Female,0,No,No,10,No,No phone service,Month-to-month,301.9,No
8,Female,0,Yes,No,28,Yes,Yes,Month-to-month,3046.05,Yes
9,Male,0,No,Yes,62,Yes,No,One year,3487.95,No
10,Male,0,Yes,Yes,13,Yes,No,Month-to-month,587.45,No
11,Male,0,No,No,16,Yes,No,Two year,326.8,No
12,Male,0,Yes,No,58,Yes,Yes,One year,5681.1,No
13,Male,0,No,No,49,Yes,Yes,Month-to-month,5036.3,Yes
14,Male,0,No,No,25,Yes,No,Month-to-month,2686.05,No
15,Female,0,Yes,Yes,69,Yes,Yes,Two year,7895.15,No
16,Female,0,No,No,52,Yes,No,One year,1022.95,No
17,Male,0,No,Yes,71,Yes,Yes,Two year,7382.25,No
18,Female,0,Yes,Yes,10,Yes,No,Month-to-month,528.35,Yes
19,Female,0,No,No,21,Yes,No,Month-to-month,1862.9,No
20,Male,1,No,No,1,No,No phone service,Month-to-month,39.65,Yes
21,Male,0,Yes,No,12,Yes,No,One year,202.25,No
22,Male,0,No,No,1,Yes,No,Month-to-month,20.15,Yes
23,Female,0,Yes,No,58,Yes,Yes,Two year,3505.1,No
24,Male,0,Yes,Yes,49,Yes,No,Month-to-month,2970.3,No
25,Female,0,No,No,30,Yes,No,Month-to-month,1530.6,No
26,Male,0,Yes,Yes,47,Yes,Yes,Month-to-month,4749.15,Yes
27,Male,0,Yes,Yes,1,No,No phone service,Month-to-month,30.2,Yes
28,Male,0,Yes,No,72,Yes,Yes,Two year,6369.45,No
29,Female,0,No,Yes,17,Yes,No,Month-to-month,1093.1,Yes
30,Female,1,Yes,No,71,Yes,Yes,Two year,6766.95,No
31,Male,1,Yes,No,2,Yes,No,Month-to-month,181.65,No
32,Female,0,Yes,Yes,27,Yes,No,One year,1874.45,No
33,Male,0,No,No,1,Yes,No,Month-to-month,20.2,No
34,Male,1,No,No,1,Yes,No,Month-to-month,45.25,No
35,Female,0,Yes,Yes,72,Yes,Yes,Two year,7251.7,No
36,Male,0,No,No,5,Yes,No,Month-to-month,316.9,Yes
37,Female,0,No,No,46,Yes,No,Month-to-month,3548.3,No
38,Male,0,No,No,34,Yes,Yes,Month-to-month,3549.25,Yes
39,Female,0,No,No,11,Yes,Yes,Month-to-month,1105.4,Yes
40,Male,0,Yes,Yes,10,Yes,No,One year,475.7,No
41,Female,0,Yes,Yes,70,Yes,Yes,Two year,4872.35,No
42,Female,0,Yes,Yes,17,Yes,No,One year,418.25,No
43,Female,0,No,No,63,Yes,Yes,Two year,4861.45,No
44,Female,0,Yes,No,13,Yes,Yes,Month-to-month,981.45,No
45,Female,0,No,No,49,Yes,Yes,Month-to-month,3906.7,No
46,Male,0,No,No,2,Yes,No,Month-to-month,97.0,No
47,Female,0,No,No,2,Yes,No,Month-to-month,144.15,Yes
48,Male,0,No,No,52,Yes,Yes,Two year,4217.8,No
49,Female,0,Yes,Yes,69,Yes,Yes,Two year,4254.1,No
50,Female,1,No,No,43,Yes,Yes,Month-to-month,3838.75,No
51,Female,0,No,No,15,Yes,No,Month-to-month,1426.4,Yes
52,Female,1,Yes,No,25,Yes,Yes,Month-to-month,1752.65,No
53,Female,1,Yes,No,8,Yes,Yes,Month-to-month,633.3,Yes
54,Female,1,Yes,Yes,60,Yes,No,One year,4456.35,No
55,Male,1,No,No,18,Yes,Yes,Month-to-month,1752.55,Yes
56,Female,0,Yes,Yes,63,Yes,Yes,One year,6311.2,No
57,Male,1,Yes,Yes,66,Yes,Yes,One year,7076.35,No
58,Female,0,Yes,Yes,34,Yes,Yes,Two year,894.3,No
59,Female,0,No,No,72,Yes,Yes,Two year,7853.7,No
60,Female,0,Yes,No,47,Yes,Yes,Month-to-month,4707.1,No
61,Male,0,No,No,60,Yes,Yes,Month-to-month,5450.7,No
62,Male,0,Yes,No,72,No,No phone service,Two year,2962.0,No
63,Female,0,Yes,Yes,18,Yes,No,One year,957.1,No
64,Female,0,No,No,9,Yes,Yes,Month-to-month,857.25,Yes
65,Female,0,No,No,3,Yes,No,Month-to-month,244.1,No
66,Male,0,Yes,No,47,Yes,Yes,One year,3650.35,No
67,Female,0,No,No,31,Yes,No,Two year,2497.2,No
68,Female,0,Yes,Yes,50,Yes,No,Two year,930.9,No
69,Male,0,No,No,10,Yes,No,Month-to-month,887.35,No
70,Male,0,No,No,1,Yes,No,Month-to-month,49.05,No
71,Female,0,Yes,Yes,52,Yes,No,One year,1090.65,No
72,Male,1,Yes,Yes,64,Yes,Yes,Two year,7099.0,No
73,Male,0,Yes,Yes,62,Yes,Yes,Two year,1424.6,No
74,Female,0,No,Yes,3,Yes,No,Month-to-month,177.4,No
75,Female,1,No,No,56,Yes,Yes,One year,6139.5,No
76,Female,0,No,No,46,Yes,No,One year,2688.85,No
77,Female,0,Yes,Yes,8,Yes,No,Month-to-month,482.25,No
78,Male,1,No,No,30,Yes,No,Month-to-month,2111.3,No
79,Female,0,Yes,Yes,45,Yes,Yes,One year,1216.6,No
80,Female,0,No,Yes,1,Yes,No,Month-to-month,79.35,Yes
81,Female,0,Yes,Yes,11,No,No phone service,Month-to-month,565.35,No
